"vramHash1",  "vramHash2",  "title",              "dmaFix", "comment"
"0x611fd9af", "0x08eea5e1", "DAFFY DUCK",         "0x0000", "Daffy Duck (Europe)"
"0xf3379c50", "0xeedf2fbe", "DAFFY DUCK",         "0x0000", "Daffy Duck (USA, Europe), Looney Tunes Series - Daffy Duck (Japan)"
"0x18f1490d", "0x3587620f", "DAISENRYAKU HI",     "0x0000", "Daisenryaku (Japan)"
"0x04162af0", "0x3ce9d7ed", "DARK WING DUCK",     "0x0000", "Darkwing Duck (USA)"
"0xb920613e", "0x4742fc66", "DARK WING DUCK",     "0x0000", "Darkwing Duck (Spain)"
"0xc85fd9de", "0x42a42241", "DARK WING DUCK",     "0x0000", "Darkwing Duck (Germany)"
"0xf8b5d1f1", "0x56038d5f", "DARK WING DUCK",     "0x0000", "Darkwing Duck (Europe)"
"0x53ea93a2", "0x3f430288", "DARKMAN",            "0x0000", "Darkman (USA, Europe)"
"0xc5f408e6", "0x671e1f92", "DARUMAN BUSTER",     "0x0000", "Peke to Poko no Daruman Busters (Japan)"
"0x0bd5ef13", "0x1b3372f3", "DAYS OF THUNDE",     "0x0000", "Days of Thunder (USA, Europe)"
"0xeb0b1cdf", "0x7b2a8257", "DEADHEATSCRAMB",     "0x0000", "Dead Heat Scramble (Japan)"
"0xf24eb67c", "0xde3ccdd2", "DEADHEATSCRAMB",     "0x0000", "Dead Heat Scramble (USA)"
"0x470f0e3a", "0xbf7e38d9", "DEFENDER/JOUST",     "0x0000", "Arcade Classic No. 4 - Defender & Joust (USA, Europe)"
"0x50892617", "0xb409bd29", "DENNIS",             "0x0000", "Dennis (Europe)"
"0x508928eb", "0xb40cf605", "DENNIS",             "0x0000", "Dennis the Menace (USA)"
"0xab22eaae", "0x17c7b511", "DESERT STRIKE",      "0x0000", "Desert Strike - Return to the Gulf (Europe)"
"0xc3aa54d8", "0xc519bf22", "DESERT STRIKE",      "0x0000", "Desert Strike - Return to the Gulf (USA)"
"0x6eba6c80", "0x5af383d9", "DETECTIVCONAN2",     "0x0000", "Meitantei Conan - Giwaku no Gouka Ressha (Japan)"
